id,name,birth,country
id,name,birth,country
1,"John Krasinski",1979-10-20,USA
2,"Graig Gillespie",1967-09-01,Australia
3,"Don Hall",1969-03-08,USA
4,"Ben Winston",1981-10-13,UK
5,"Michael Rianda",1984-12-25,USA
6,"Zack Snyder",1966-08-01,USA
7,"Michael Gracey",1980-04-08,Australia
8,"Florian Zeller",1979-06-28,France
9,"Joe Wright",1972-08-25,UK
10,"Alexandre Aja",1978-08-07,France
11,"Cate Shortland",1968-08-10,Australia
12,"Thomas Vinterberg",1969-08-19,Denmark
13,"Robert Connolly",1967-11-27,Australia
14,"Rian Johnson",1973-12-17,USA
15,"Robert Zemeckis",1951-05-14,USA
16,"James Cameron",1954-08-16,Canada
